id,nota_1,nota_2,nota_3
1,6.8,8,9.5
2,4.2,3,9.5
3,0,0,0
4,8,7.5,9.5
5,7,7.5,10
6,9.8,8.8,10
7,9.8,6,9.5
8,2,0,0
9,10,9.8,10
10,4.4,5.4,9
11,9.6,10,9.5
12,10,10,10
13,4.2,8.8,10
14,5.6,3,9.5
15,9.4,8,10
16,6.1,6.2,9.5
17,8.2,8.3,10
18,7.4,6.3,9
19,9.6,7.2,9.5
20,10,9.5,10
21,7.8,6,10
22,8.9,4.5,10
23,10,9.7,10
24,9.8,8,9.5
