id,nota_1,nota_2,nota_3,nota_4
1,8.3,8,9.3,8
2,7,7.7,4.6,8.7
3,7.8,3.2,7.7,5.1
4,7.3,9.3,9.8,4.8
5,5.8,9.8,10,6.8
6,9.6,9.8,10,9
7,9,8.5,8.5,8
8,4,7.5,5.3,2
9,10,9.9,9.6,9.1
10,8.3,8.7,8,6.7
11,10,10,8.5,9.8
12,7.3,9,7.8,7
13,8.8,9.2,10,8.7
14,6.5,8.6,7,4
15,10,8.5,8.1,8.5
16,9.7,10,7.7,7.5
17,8.3,9.7,8.7,6.8
18,7.5,9.4,6,7.2
19,9.3,9.9,9.8,9.1
20,0,2.5,1,0
21,5,8,5.8,4.8
